"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1801926961759215910","Sat Jun 15 10:37:20 +0000 2024","0","Semenjak tapera gue jd kesel bgtsoalnya sadar gue kerja dipotong pajak tp mereka blm tentu potong pajak","1801926961759215910","","","in","sumpah gue hidden trainee SM","0","0","0","https://x.com/riseonflower/status/1801926961759215910","1081875363754463232","riseonflower"
"1801784083019927766","Sat Jun 15 10:35:18 +0000 2024","12","@tempodotco Kenapa kesengsaraan rakyat tambah bermunculan usai keputusan MK yg memenangkan 02 ? UKT tapera phk massal sementara rakyat masih teringat budi baik rezim yg beri bansos.","1801926448804184132","","tempodotco","in","","0","0","2","https://x.com/Sukirman2019/status/1801926448804184132","900969794786148352","Sukirman2019"
"1801609393521442995","Sat Jun 15 10:33:15 +0000 2024","0","@penyeranta @namoybudaya Tapera kita kandaaa...","1801925933605265514","","penyeranta","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/AdryJulian/status/1801925933605265514","37695182","AdryJulian"
"1801634242490994713","Sat Jun 15 10:32:44 +0000 2024","1","@Yanyan97312937 @Bambangmulyonoo Ya kan emang semua dari kepala nya bos lu &amp; kaum lu malah cari2 kambing hitam buat belain Mukidi Jelas² Tapera dari PP malah salahin dewan yg dukung kan....? Malah salahin yg dukung PP bukan salahin yg BIKIN PP TAPERA kelakuan kaum lu belain Mukidi","1801925804458217620","","Yanyan97312937","in","","0","1","0","https://x.com/g4kta/status/1801925804458217620","1102080977457696769","g4kta"
"1801776616907096161","Sat Jun 15 10:31:27 +0000 2024","0","@bachrum_achmadi klo rugi tinggal suntik sama APBN atau nanti ditambel pake duit tapera....","1801925482390470746","","bachrum_achmadi","in","Tokaiyo Jupun","0","0","0","https://x.com/MNKholizt/status/1801925482390470746","232406943","MNKholizt"
"1801925234305696013","Sat Jun 15 10:30:28 +0000 2024","0","2024 so far Tapera Layoff Kesang nyagub Pati tp bkn Pati Dolken Rupiah naik ","1801925234305696013","","","in","Bogor, Jawa Barat","0","0","0","https://x.com/babelkeinjek/status/1801925234305696013","3834219134","babelkeinjek"
"1801923057478701280","Sat Jun 15 10:27:39 +0000 2024","0","@andi_achilles Kopinya ","1801924522825928892","","andi_achilles","in","Gaza, Palestine","0","1","0","https://x.com/LantjarDjayaa/status/1801924522825928892","2518915579","LantjarDjayaa"
"1801880022397161858","Sat Jun 15 08:22:13 +0000 2024","0","@typagirlls bayar tapera kak","1801892958905765963","","typagirlls","in","","0","0","0","https://x.com/vinzzmoke_/status/1801892958905765963","1683100807","vinzzmoke_"
"1801586897929834663","Sat Jun 15 08:18:45 +0000 2024","0","@BeauteHan Pengen punya rumah? Tapera lah jawabannya dd https://t.co/UiCo7Zfe0Z","1801892084074561993","https://pbs.twimg.com/media/GQGbTFPbUAA3Exm.jpg","BeauteHan","in","start tweet: 2588","0","0","0","https://x.com/BeauteYuyu/status/1801892084074561993","747670181183426560","BeauteYuyu"
"1801509005019517342","Sat Jun 15 08:17:15 +0000 2024","0","@anggaandinata Jangan lupa pajak Tax Natura selain TAPERA beban semakin berat","1801891707274862670","","anggaandinata","in","","0","0","0","https://x.com/dobelhapel/status/1801891707274862670","67862565","dobelhapel"
