"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1844827796205682935","Fri Oct 11 19:49:56 +0000 2024","1","Bahrain #AFCMafia Wasit Bantu dukungan nya buat CH YT saya https://t.co/BVn0RofQv0 https://t.co/BXFsrs4evQ","1844827796205682935","https://pbs.twimg.com/media/GZolGp7bUAARDma.jpg","","in","indonesia","0","0","0","https://x.com/orangsabar_nava/status/1844827796205682935","712606002579779584","orangsabar_nava"
"1844826948415234398","Fri Oct 11 19:46:34 +0000 2024","0","Wasit bahrain kantong penuh #AFCMAFIAMONEY #FIFA_AFC_MAFIA https://t.co/fZmt9nZMqX","1844826948415234398","https://pbs.twimg.com/media/GZokVA8boAE67ll.jpg","","in","","0","0","0","https://x.com/fullartdesign42/status/1844826948415234398","1602105258993676288","fullartdesign42"
"1844236211147456721","Fri Oct 11 19:43:30 +0000 2024","0","@erickthohir Saya pendukung Timnas Indonesia sebagus apapun Timnas Indonesia bermain kalau dipimpin oleh WASIT CURANG maka tidak akan pernah melaju ke level apapun/manapun... Tolong sampaikan protes ke @FIFAcom batalkan 3 poin Bahrain 🇮🇩","1844826175061017054","","erickthohir","in","Cilacap,Jawa Tengah, Indonesia","0","0","0","https://x.com/teguhwidji/status/1844826175061017054","366490008","teguhwidji"
"1844457777269518715","Fri Oct 11 19:43:14 +0000 2024","0","@ternakdigembala @Info_SerieA firman utina dkk juga dulu pernah ngalahin bahrain di piala asia ya berarti seharus nya skr lebih bisa ngalahin mereka tanpa alasan wasit","1844826110791713008","","ternakdigembala","in","","0","0","0","https://x.com/NaufalAuli84409/status/1844826110791713008","1692541155932790784","NaufalAuli84409"
"1844825426625241378","Fri Oct 11 19:40:31 +0000 2024","0","huah jahat banget wasit sama bahrain","1844825426625241378","","","in","JOG , IDN","0","0","0","https://x.com/in_tone/status/1844825426625241378","584030998","in_tone"
"1844808069416706200","Fri Oct 11 18:31:33 +0000 2024","0","Warga +62 dan bahrain mending kompak aja protes wasit Ahmad Al Kaf ke fifa bahrain protes goal pertama ragnar yg menurutnya hand ball terlebih dulu yg dimana bagi mereka seharusnya mereka menang indo protes soal perpanjangan waktu yg mengakibatkan seri.","1844808069416706200","","","in","","0","0","0","https://x.com/Zverxos/status/1844808069416706200","1434763590913777665","Zverxos"
"1844805503291113547","Fri Oct 11 18:30:41 +0000 2024","1","@BahrainFA Kami tunggu Bahrain di Indonesia kami akan ajarkan kalian utk bermain &amp; meraih poin dengan cara yg bermoral &amp; bermartabat bukan dgn cara menyuap wasit yg bermental anjing dari @OmanFA cara kalian bermain sangat menjijikan #AFC_MAFIA @AFCcorruption #DogReferee","1844807853351358473","","BahrainFA","in","","0","0","0","https://x.com/putra_merbabu/status/1844807853351358473","1633116365853806602","putra_merbabu"
"1844755531992551529","Fri Oct 11 18:29:12 +0000 2024","1","@idextratime Doa dari 40 orang aja peluang di jabah makin besar. Gimana doa dari 270jt rakjay indonesia apa engga makin langsung di jabah tuh mana isinya doa buruk semua ke wasit &amp; bahrain.","1844807478405632237","","idextratime","in","","0","0","0","https://x.com/najaejaee14/status/1844807478405632237","1730525997668409344","najaejaee14"
"1844544782741405889","Fri Oct 11 18:28:42 +0000 2024","0","@wnisekai lagi kesel sama wasit pas pertandingan indo vs Bahrain malah Nemu tweet ini.. COKK JASTIP SUSHI COKKK... BASI LAA COK plislahh tambah emosi gw bacanya ","1844807354690478302","","wnisekai","in","","0","0","0","https://x.com/rakyatjelatw/status/1844807354690478302","1627838480461205505","rakyatjelatw"
"1844806428751757760","Fri Oct 11 18:25:02 +0000 2024","0","Wasit : sudah sesuai aturan main. Tidak suka lapor aja ke boss ane king Bahrain ","1844806428751757760","","","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://x.com/readMeAja/status/1844806428751757760","415510248","readMeAja"
"1844795588715397224","Fri Oct 11 18:20:57 +0000 2024","0","@AU_LiaJKT48 Gabisa lia masih kepikiran wasit Bahrain yang bikin Indonesia gagal menang itu","1844805401218290136","","AU_LiaJKT48","in","","0","0","0","https://x.com/nivlacml/status/1844805401218290136","520074629","nivlacml"
"1844805185576509847","Fri Oct 11 18:20:05 +0000 2024","0","FYI Ketua AFC adalah orang Bahrain. Terlepas dari molornya waktu yang diberikan wasit Ahmed Al Kaff pada laga Indonesia vs Bahrain harusnya 90+6 usai tapi menit 90+9 dan 90+10 ditiup peluit resiko Bahrain cetak gol kedua. Skor asli 2-1 jadi 2-2. https://t.co/eCkcMuetxF","1844805185576509847","","","in","Kota Bandung, Jawa Barat","0","0","0","https://x.com/themunim17/status/1844805185576509847","480526639","themunim17"
"1844676620679782703","Fri Oct 11 18:19:40 +0000 2024","0","@nocontextfooty media Eropa sampai terheran-heran sama wasit pertandingan Indonesia vs Bahrain kemarin","1844805081629180395","","nocontextfooty","in","Kabupaten Karanganyar","0","0","0","https://x.com/MuhammadFuad30/status/1844805081629180395","1679557536545144832","MuhammadFuad30"
"1844803825108140363","Fri Oct 11 18:14:41 +0000 2024","0","Harusnya emang hastag dan pembahasan Bahrain Wasit dan AFC harus terus diramein disemua sosmed sampai ada klarifikasi dari pihak mereka semua. Enak bgt mereka kalo kita ramenya cuma sehari doang #AFCMAFIAMONEY #AFCMafia","1844803825108140363","","","in","","0","0","0","https://x.com/nf_feb/status/1844803825108140363","1660052971","nf_feb"
