,conversation_id_str,created_at,favorite_count,tweet,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,predicted_sentiment
0,1844890448688828570,Fri Oct 11 23:58:54 +0000 2024,0,seandainya pemimpin indonesia setegas bung karno  mungkin indonesia dicurangi wasit dan mafia bahrain  tdk ditanggapi afc dan fifa mungkin bung karno akan putuskan hubungan diplomatik dgn bahrain dan keluar dari keanggotaan oki ,1844890448688828570,,,in,New york US,0,0,0,https://x.com/eranolok/status/1844890448688828570,1952471238,eranolok,neutral
1,1844890010266501436,Fri Oct 11 23:57:09 +0000 2024,0,wasit ahmed al kaf sudah 4 kali pimpin laga timnas bahrain dan selalu beri keuntungan ini buktinya https   t co 6yp7irhxqc,1844890010266501436,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/inewsdotid/status/1844890010266501436,944180887171743745,inewsdotid,positive
2,1844677613832360021,Fri Oct 11 23:51:32 +0000 2024,4, s4ndywijaya  fa1zansar1  trollfootball harusnya babak tambahan cuman 6 menit  posisi indonesia unggul 2  tapi si wasit ngulur waktu ampe jadi 9 menit  nambah 3 menit  agar bahrain bisa cetak skor jadi 2 2  yang asalnya bahrain 1 2 indonesia  kalo ada yang salah beda bisa dikoreksi,1844888596924538987,,S4ndyWijaya,in,Read my Carrd first :3c,0,1,0,https://x.com/sannawpy/status/1844888596924538987,1472033247194333187,sannawpy,positive
3,1844805503291113547,Fri Oct 11 23:51:22 +0000 2024,3, bahrainfa bahrain kuat secara finansial  kalau main cuma sepei kaum lgbt lebih baik jangan main sepak bola  sepak bola itu permainan pejuang bukan mental banci kesenggol dikit guling guling akting layaknya pemain bokep  wasit dibayar pokoknya timnas lawan harus kalah apapun caranya  https   t co swz0pedgi4,1844888554369056836,https://pbs.twimg.com/media/GZpcXL7bUAAdGep.jpg,BahrainFA,in,,0,0,0,https://x.com/BojanMalisic8/status/1844888554369056836,1112462184460607488,BojanMalisic8,negative
4,1844763637262750026,Fri Oct 11 23:51:14 +0000 2024,0,akan tetapi memang sepei itu sepak bola  protes kepemimpinan wasit tidak bisa mengubah hasil akhir peandingan  indonesia tetap imbang dengan bahrain ,1844888519438893561,,kompasiana,in,Indonesia,0,1,0,https://x.com/kompasiana/status/1844888519438893561,23786106,kompasiana,negative
5,1844606493905371465,Fri Oct 11 23:50:48 +0000 2024,0, 0psh8 pemaen supoer wasit waawan bahrain agak laen emg,1844888412962292011,,0PSH8,in,,0,0,0,https://x.com/iyeoniesugyeom/status/1844888412962292011,1676177075261276160,iyeoniesugyeom,negative
6,1844888177426956369,Fri Oct 11 23:49:52 +0000 2024,0,makin banyak menteri makin banyak korupsi   korupsi paling banyak ya di kementrian     sesuai slogan prabocor kalau korupsinya tidak seberapa ya gapapa      numpang wasit fifa bahrain https   t co v5gsyhis9l,1844888177426956369,https://pbs.twimg.com/media/GZpcBULaAAEwVtu.jpg,,in,"Semarang Timur, Indonesia",0,0,0,https://x.com/Otto_0967/status/1844888177426956369,1757729498102124545,Otto_0967,negative
7,1844887895355818319,Fri Oct 11 23:48:45 +0000 2024,0,https   t co h8so7xlh4p bahrain wasit fifa indonesia baim paula,1844887895355818319,,,in,Indonesia,0,0,0,https://x.com/frk_haha/status/1844887895355818319,1745320523721220096,frk_haha,neutral
8,1844887247717531987,Fri Oct 11 23:46:10 +0000 2024,0,bahrain kuat secara finansial  kalau main cuma sepei kaum lgbt lebih baik jangan main sepak bola  sepak bola itu permainan pejuang bukan mental banci kesenggol dikit guling guling akting layaknya pemain bokep  wasit dibayar pokoknya timnas lawan harus kalah apapun caranya ,1844887247717531987,,,in,,0,0,0,https://x.com/SantuySaja89/status/1844887247717531987,1787324819719311360,SantuySaja89,negative
9,1844885622139519037,Fri Oct 11 23:39:43 +0000 2024,0,ini kalau kiblatnya ke arah gurun jadi goblok akut    semua dari belum lahir sudah menikmati hasil pajak menikmati sarana publik dr rs jalan penerangan jalan sekolah dlsb dr hasil pajak     pulangkan sj onta gurun spt ini meresahkan   numpang wasit fifa bahrain,1844885622139519037,,,in,"Semarang Timur, Indonesia",0,0,0,https://x.com/Otto_0967/status/1844885622139519037,1757729498102124545,Otto_0967,negative
10,1844885305448595853,Fri Oct 11 23:38:27 +0000 2024,0,aku pun semakin bersemangat menggenjotnya dan memaju mundurkan kemaluanku di dalam vaginanya  sementara tanganku tidak lepas memegangi puting payudaranya yang mengencang  https   t co 69lh4ydiqz sma 70 sandra dewi witan komeng gaya gue haram bahrain wasit shame arab  zonauang https   t co 2oahqrgww4,1844885305448595853,https://pbs.twimg.com/media/GZpZZxHaAAABh3W.jpg,,in,,0,0,0,https://x.com/Pecandu_JKT48/status/1844885305448595853,1834496004441473026,Pecandu_JKT48,neutral
11,1844701107202961418,Fri Oct 11 23:38:08 +0000 2024,0, ardahw  yusuf izeckkson  matsuyamanico  rossifinza dan kan gua bilang babak 1 itu ada cek var ama pemen bahrain yg berkali2 guling2  emang cek var aja itu brp menit kocak  guling2annya aja bisa 2 menitan sekali jatoh  gausa bawa2 aturan td fakta di lapangan wasit cuma nambahin waktu di situasi yg emg wasting time banyak ,1844885225169617006,,emporiiio_,in,,0,0,0,https://x.com/emporiiio_/status/1844885225169617006,1708120675616243712,emporiiio_,neutral
12,1844637713917673625,Fri Oct 11 23:37:04 +0000 2024,0, idextratime bukan cuman soal kemenangan atas bahrain yg dirampok saudara saudara tapi lebih pada klasemen sementara yg diserobot  bayangkan harusnya berada pd peringkat 2 dibawah jepang tp gara2 itu jadi peringkat 5  memang wasit goblok dia telah mematah asa 250jt org rakyat indo,1844884954452459542,,idextratime,in,,0,0,0,https://x.com/Singomakaryo/status/1844884954452459542,1773839114154221568,Singomakaryo,negative
13,1844476924518936729,Fri Oct 11 23:36:56 +0000 2024,2, callme joestar apapun yg berbau wasit dan bahrain di hajarsampe ulasan stadion nasional nya di google,1844884924396077109,,callme_joestar,in,Tarempa,0,0,0,https://x.com/taufik2510/status/1844884924396077109,2700407732,taufik2510,neutral
14,1844884730929713537,Fri Oct 11 23:36:10 +0000 2024,1,jurnalis belanda tak habis pikir dengan kontroversi wasit bahrain vs timnas indonesia  saya marah besar  https   t co dj8sz25fyr,1844884730929713537,,,in,Indonesia,0,0,0,https://x.com/bolacomID/status/1844884730929713537,1486284086,bolacomID,negative
